cell_id,ndvi_mean
-28.0000_-56.0000,0.6870001172332943
-28.0000_-56.2500,0.759494021101993
-28.0000_-56.5000,0.6682698710433764
-28.0000_-56.7500,0.648858264947245
-28.0000_-57.0000,0.6668780773739742
-28.0000_-57.2500,0.6620935521688159
-28.0000_-57.5000,0.7312397420867527
-28.0000_-57.7500,0.6445886283704573
-28.0000_-58.0000,0.7095070339976554
-28.0000_-58.2500,0.6969702227432591
-28.0000_-58.5000,0.6516558030480656
-28.0000_-58.7500,0.6546615474794841
-28.0000_-59.0000,0.7064781946072685
-28.0000_-59.2500,0.565727080890973
-28.0000_-59.5000,0.6726058616647128
-28.0000_-59.7500,0.5829485345838218
-28.0000_-60.0000,0.5463684642438452
-28.0000_-60.2500,0.5286697538100821
-28.0000_-60.5000,0.6631240328253224
-28.0000_-60.7500,0.453541735052755
-28.0000_-61.0000,0.48364067995310667
-28.0000_-61.2500,0.5724164126611958
-28.0000_-61.5000,0.45488007033997657
-28.0000_-61.7500,0.6183840562719813
-28.0000_-62.0000,0.4525035169988277
-28.0000_-62.2500,0.5700219226260258
-28.0000_-62.5000,0.5103759671746776
-28.0000_-62.7500,0.5162507620164126
-28.0000_-63.0000,0.5500161781946074
-28.0000_-63.2500,0.5279842907385698
-28.0000_-63.5000,0.548538100820633
-28.0000_-63.7500,0.5020189917936694
-28.0000_-64.0000,0.5094723329425557
-28.0000_-64.2500,0.4958651817116061
-28.0000_-64.5000,0.5481773739742087
-28.0000_-64.7500,0.4976032825322392
-28.0000_-65.0000,0.4913124267291911
-28.0000_-65.2500,0.4986222743259086
-28.0000_-65.5000,0.5133698710433764
-28.0000_-65.7500,0.5593689331770223
-28.0000_-66.0000,0.5237500586166471
-28.0000_-66.2500,0.2097303634232122
-28.0000_-66.5000,0.11060433763188746
-28.0000_-66.7500,0.1046113716295428
-28.0000_-67.0000,0.1321852286049238
-28.0000_-67.2500,0.3427644783118406
-28.0000_-67.5000,0.1783970691676436
-28.0000_-67.7500,0.12286342321219226
-28.0000_-68.0000,0.10416764361078547
-28.2500_-56.0000,0.6991003516998828
-28.2500_-56.2500,0.6304715123094958
-28.2500_-56.5000,0.6823119577960141
-28.2500_-56.7500,0.6811198124267293
-28.2500_-57.0000,0.6310702227432591
-28.2500_-57.2500,0.6055785463071512
-28.2500_-57.5000,0.6718167643610786
-28.2500_-57.7500,0.6680600234466589
-28.2500_-58.0000,0.6964406799531067
-28.2500_-58.2500,0.6663342321219227
-28.2500_-58.5000,0.6487057444314185
-28.2500_-58.7500,0.615529777256741
-28.2500_-59.0000,0.647871981242673
-28.2500_-59.2500,0.5929750293083236
-28.2500_-59.5000,0.6133917936694021
-28.2500_-59.7500,0.6291811254396249
-28.2500_-60.0000,0.5325097303634232
