,best_ap
0,0.8929237705770374
1,0.8929237705770374
2,0.8930820491928545
3,0.8930820491928545
4,0.8931896706175532
5,0.8933149184533878
6,0.8933149184533878
7,0.8933149184533878
8,0.8934537092993237
9,0.8934537092993237
10,0.8935889904148677
11,0.8937095481180979
12,0.8937345275040723
13,0.8938078870087928
14,0.8938296942243596
